id;code;name;description
1;firmware;Liaison compress proactive;front-end bypass Strategist
2;SMS Usability cross-;Lead;Savings Account Monitored circuit
3;Granite;Fantastic;Idaho Avon sky blue
4;collaboration connec;Balboa US Dollar Games;Branding Chair Seamless
5;tan Buckinghamshire;virtual;Sports
6;Games quantify HDD;Dynamic;deposit hard drive
7;quantifying bus;Health;PNG cross-platform Grocery
8;Grocery Faroe Island;Corporate Ohio;sky blue
9;Tactics Movies;explicit SDD Sudan;technologies eyeballs withdrawal
10;Baby Moldova;Mills wireless;Money Market Account EXE Director
